Z,band1,band2,band3
2.720000029,3.720936512,4.614095984,2.350103018
4.960000038,3.31771328,5.135560665,4.561567935
3.710000038,3.944613433,5.220967377,4.523478949
2.329999924,3.490672512,4.353150194,0.184256471
2.140000105,4.553176682,5.368271284,4.322487033
1.799999952,4.731838661,5.601219522,4.657054399
5.230000019,2.934926315,4.631758614,3.302641097
2.460000038,3.571201307,4.464896578,2.703989153
4.900000095,2.715663529,4.920786337,4.275127705
3.359999895,3.525367923,5.43963286,5.065603333
2.319999933,4.780962338,5.346290958,4.452906569
2.789999962,3.940737281,4.835215823,3.001888031
2.059999943,4.460146256,5.278403025,4.120080449
5.849999905,2.840438182,4.708725398,3.859795061
3.75999999,3.852688887,5.142928907,4.031005589
2.400000095,4.511830827,5.368599073,4.332693395
1.980000019,4.165225618,4.813064689,2.509381021
3.079999924,4.046561451,4.849418422,2.876650289
2.24000001,4.464454574,5.551540682,4.719502207
2.299999952,5.701617608,5.898133116,5.390416323
2.269999981,3.582182556,4.459811736,0.549431978
2.859999895,4.148047304,5.365890862,4.596952866
1.379999995,4.365420834,5.806088294,5.328141529
2.650000095,2.957366796,4.399053662,2.507651231
4.809999943,2.786105793,4.982920685,4.57827748
2.799999952,3.796416722,4.517867172,1.790676123
3.710000038,3.0162644,5.296906646,4.900625401
1.00999999,4.577972109,5.919549938,5.439384342
2,4.388719252,5.40134012,4.373438761
4.039999962,3.367650593,5.217604756,4.653213696
5.840000153,4.257050359,4.708338906,3.950128455
9.890000343,2.703240573,4.248678244,3.602464392
2.359999895,4.043295612,5.51375787,4.943759895
5.789999962,3.531527818,4.545223854,3.00168547
2.849999905,4.343647503,5.431269456,4.366454649
2.599999905,3.986107581,5.089247999,3.94216655
2.299999952,4.096737816,5.400060519,4.484243139
6.46999979,2.890203457,4.706700544,3.651278418
2.960000038,4.015812739,5.395444019,4.719440467
5.989999771,3.311541149,4.742663356,3.464672331
4.579999924,3.611520342,4.69584922,2.527705647
1.149999976,5.616413545,6.105302871,5.426595319
2.599999905,4.548916279,5.017067496,3.171783344
3.75,3.677663226,5.522563057,5.054154351
5.800000191,3.221735189,4.735398544,3.653185545
2.480000019,4.013480368,4.815896395,2.265494993
5.690000057,3.416152604,4.827434764,3.955897883
3.680000067,3.829093866,5.177661414,4.270515601
2.680000067,3.878984782,5.251341426,4.430111436
3.200000048,3.203501224,4.192396705,1.621034095
2.710000038,4.057679506,4.854139556,2.883974524
1.870000005,4.322184656,5.190521438,4.154721464
1.330000043,3.973767322,4.509766461,1.3695194
5.869999886,3.299797924,4.669237412,3.031691954
3.880000114,3.664000283,5.132587616,4.294613732
4.019999981,3.724982251,5.140285616,4.232660079
3.470000029,3.875083058,4.844180978,2.982709871
2.150000095,4.327944783,4.818942638,2.396175781
2.529999971,3.416738729,4.327357815,2.031329905
2.180000067,4.401149629,5.445136277,4.530029622
1.700000048,3.843699827,5.233157586,4.330770012
4.21999979,3.549274062,4.708497292,2.594183039
6.630000114,2.978576005,4.632803796,3.769229022
2.859999895,3.647210792,5.20624129,4.374334808
2.640000105,4.384897932,5.122313777,3.754935755
6.059999943,3.227547772,4.604794071,3.285674667
5.829999924,3.251537583,4.33361424,2.543464925
3.579999924,3.305988934,5.08011544,4.247487342
4.210000038,3.549512036,4.421264101,1.458406615
3.150000095,3.701062616,5.568601829,5.199434442
6.840000153,2.903550519,4.913700172,4.427955584
3.880000114,3.890957998,5.231169073,4.491710106
